Datum;Wochentag;Umsatz
19.04.2017;Mittwoch;1886.5
20.04.2017;Donnerstag;2454
21.04.2017;Freitag;1608
22.04.2017;Samstag;2013.5
23.04.2017;Sonntag;2882.5
24.04.2017;Montag;2615.5
25.04.2017;Dienstag;1811
26.04.2017;Mittwoch;1790.5
27.04.2017;Donnerstag;1676
28.04.2017;Freitag;2010.5
29.04.2017;Samstag;2271.65
30.04.2017;Sonntag;3784.5
01.05.2017;Montag;2489
02.05.2017;Dienstag;1737.5
03.05.2017;Mittwoch;1530.1
04.05.2017;Donnerstag;2311.1
05.05.2017;Freitag;2718.5
06.05.2017;Samstag;2194
07.05.2017;Sonntag;2780.5
08.05.2017;Montag;1850.5
09.05.2017;Dienstag;2041
10.05.2017;Mittwoch;1720.5
11.05.2017;Donnerstag;2577.7
12.05.2017;Freitag;1322.5
13.05.2017;Samstag;2339.5
14.05.2017;Sonntag;2613.5
15.05.2017;Montag;1968.5
16.05.2017;Dienstag;1623.5
17.05.2017;Mittwoch;2323.15
18.05.2017;Donnerstag;2489.5
19.05.2017;Freitag;1772
20.05.2017;Samstag;1768.1
21.05.2017;Sonntag;2116.5
22.05.2017;Montag;375.5
23.05.2017;Dienstag;1500
24.05.2017;Mittwoch;1627
25.05.2017;Donnerstag;1580
26.05.2017;Freitag;1747.5
27.05.2017;Samstag;2566.5
28.05.2017;Sonntag;2929
29.05.2017;Montag;1704.5
30.05.2017;Dienstag;767.5
31.05.2017;Mittwoch;1857
01.06.2017;Donnerstag;1966.3
02.06.2017;Freitag;2003.4
03.06.2017;Samstag;647.5
04.06.2017;Sonntag;2580.5
05.06.2017;Montag;5383.95
06.06.2017;Dienstag;1222
07.06.2017;Mittwoch;1473.5
08.06.2017;Donnerstag;3335
09.06.2017;Freitag;2500
10.06.2017;Samstag;1483
11.06.2017;Sonntag;2298.5
12.06.2017;Montag;1728
13.06.2017;Dienstag;1950.25
14.06.2017;Mittwoch;2005.6
15.06.2017;Donnerstag;2063.05
16.06.2017;Freitag;2301.4
17.06.2017;Samstag;3328.4
18.06.2017;Sonntag;2899
19.06.2017;Montag;1224.5
20.06.2017;Dienstag;1142.1
21.06.2017;Mittwoch;2045
22.06.2017;Donnerstag;1666
23.06.2017;Freitag;1705
24.06.2017;Samstag;2173
25.06.2017;Sonntag;3984
26.06.2017;Montag;1668.7
27.06.2017;Dienstag;1341
28.06.2017;Mittwoch;1813.5
29.06.2017;Donnerstag;1830.55
30.06.2017;Freitag;1743
01.07.2017;Samstag;3314.25
02.07.2017;Sonntag;3886
03.07.2017;Montag;2662.5
04.07.2017;Dienstag;1809
05.07.2017;Mittwoch;2294
06.07.2017;Donnerstag;2031
07.07.2017;Freitag;1459.54
08.07.2017;Samstag;2067.5
09.07.2017;Sonntag;2613.5
10.07.2017;Montag;1307.5
11.07.2017;Dienstag;2918.7
12.07.2017;Mittwoch;3453
13.07.2017;Donnerstag;5820.5
14.07.2017;Freitag;1515
15.07.2017;Samstag;2174.5
16.07.2017;Sonntag;1811.5
17.07.2017;Montag;3293.25
18.07.2017;Dienstag;2165.5
19.07.2017;Mittwoch;2482.4
20.07.2017;Donnerstag;1646.75
21.07.2017;Freitag;3131
22.07.2017;Samstag;1693.5
23.07.2017;Sonntag;3933
24.07.2017;Montag;3225.5
25.07.2017;Dienstag;1685.5
26.07.2017;Mittwoch;5796.5
27.07.2017;Donnerstag;2278.5
28.07.2017;Freitag;2189
29.07.2017;Samstag;2238.5
30.07.2017;Sonntag;3396.5
31.07.2017;Montag;1937.5
01.08.2017;Dienstag;1182.5
02.08.2017;Mittwoch;2546.5
